start_time,identified_style,cost_1.0,cost_1.5,cost_2.0,valid_ratio,gt_style,scenario,scenario_id
21.0,1.0,0.1808694342038589,8.691487083304725,17.202104732405594,1.0,1.0,sine,4
0.0,1.5,4.913952073602786,0.6567289465673857,5.091761638087102,1.0,1.5,constant,5
1.0,1.5,4.855611975335473,0.22752179483906843,4.601405058920956,1.0,1.5,constant,5
2.0,1.5,4.764784912056554,0.06297523796720376,4.880476854339539,1.0,1.5,constant,5
3.0,1.5,4.868098949135892,0.04206072982420279,4.9522204087842985,1.0,1.5,constant,5
4.0,1.5,4.931706962033164,0.01794324947527062,4.967593460983705,1.0,1.5,constant,5
5.0,1.5,4.960676841702665,0.009553243707460642,4.979783329117586,1.0,1.5,constant,5
6.0,1.5,4.976817837819636,0.005841982315317748,4.988501802450271,1.0,1.5,constant,5
7.0,1.5,4.986570861698604,0.0034445162786427954,4.99345989425589,1.0,1.5,constant,5
8.0,1.5,4.992272038255211,0.0019762467142146324,4.99622453168364,1.0,1.5,constant,5
9.0,1.5,4.995545709989244,0.001135923788237012,4.9978175575657176,1.0,1.5,constant,5
10.0,1.5,4.997430142257978,0.0006556663386545517,4.998741474935286,1.0,1.5,constant,5
11.0,1.5,4.998517851533948,0.0003784003978943454,4.999274652329737,1.0,1.5,constant,5
12.0,1.5,4.999145433920766,0.00021819233835807154,4.999581818597483,1.0,1.5,constant,5
13.0,1.5,4.99950729705114,0.00012579307217191893,4.999758883195483,1.0,1.5,constant,5
14.0,1.5,4.999715927049539,7.252802393994299e-05,4.9998609830974186,1.0,1.5,constant,5
15.0,1.5,4.999836216879967,4.181733925486643e-05,4.999919851558476,1.0,1.5,constant,5
16.0,1.5,4.999905571712173,2.4109818845178636e-05,4.999953791349864,1.0,1.5,constant,5
17.0,1.5,4.999945558191912,1.3900337822666062e-05,4.999973358867558,1.0,1.5,constant,5
18.0,1.5,4.999968612109554,8.014116574881389e-06,4.999984640342705,1.0,1.5,constant,5
19.0,1.5,4.9999819036443816,4.620461440302239e-06,4.999991144567262,1.0,1.5,constant,5
20.0,1.5,4.99998956674896,2.6638777731983054e-06,4.999994894504507,1.0,1.5,constant,5
21.0,1.5,4.999993984829597,1.5358286349974142e-06,4.999997056486868,1.0,1.5,constant,5
0.0,1.5,4.913952073602786,0.6567289465673857,5.091761638087102,1.0,1.5,braking,6
1.0,1.5,4.855611975335473,0.22752179483906843,4.601405058920956,1.0,1.5,braking,6
2.0,1.5,4.764784912056554,0.06297523796720376,4.880476854339539,1.0,1.5,braking,6
3.0,1.5,4.717143747034867,0.18894316261598507,5.095030072266837,1.0,1.5,braking,6
4.0,1.5,4.544922512082393,0.25796535726080405,5.060853226604002,1.0,1.5,braking,6
5.0,1.5,4.133069120045561,0.2733225449669664,4.679714209979494,1.0,1.5,braking,6
6.0,1.5,3.5666112199043285,0.13675259224704228,3.8401164043984135,1.0,1.5,braking,6
7.0,1.5,2.7704954485904856,0.05107841029770566,2.872652269185897,1.0,1.5,braking,6
8.0,1.5,2.0178070555737495,0.17159846225501046,1.776689276476128,1.0,1.5,braking,6
9.0,1.5,1.3135142269233555,0.23761238914536448,0.8801195347115838,1.0,1.5,braking,6
10.0,1.5,0.7932883269607551,0.24653243232091146,0.3002234623189322,1.0,1.5,braking,6
11.0,1.5,0.38026462466252536,0.10768944982495804,0.18057013836056263,1.0,1.5,braking,6
12.0,1.5,0.23007934261785684,0.08683428285725091,0.16520245973187636,1.0,1.5,braking,6
13.0,1.5,0.12766871178377154,0.06745671816196465,0.10154695828836356,1.0,1.5,braking,6
14.0,2.0,0.0745843942613771,0.06022102475600754,0.04724961422993003,1.0,1.5,braking,6
15.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
16.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
17.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
18.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
19.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
20.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
21.0,1.0,0.0,0.0,0.0,1.0,1.5,braking,6
0.0,1.5,4.913952073602786,0.6567289465673857,5.091761638087102,1.0,1.5,emergency,7
1.0,1.5,4.855611975335473,0.22752179483906843,4.601405058920956,1.0,1.5,emergency,7
2.0,1.5,4.764784912056554,0.06297523796720376,4.880476854339539,1.0,1.5,emergency,7
3.0,1.5,4.561905458078635,0.3399201720222935,5.241745802123223,1.0,1.5,emergency,7
4.0,1.5,4.14840970982409,0.4994371874124857,5.147284084649062,1.0,1.5,emergency,7
5.0,1.5,3.394390289604927,0.6227446478821617,4.2439687483090465,1.0,1.5,emergency,7
6.0,1.5,2.6502510085010904,0.5809204001780034,2.3730410547751535,1.0,1.5,emergency,7
7.0,1.5,1.7075797802051242,0.4581498425909146,0.9294048447955678,1.0,1.5,emergency,7
8.0,2.0,0.9599827646795122,0.35116493146975103,0.2576529017400102,1.0,1.5,emergency,7
9.0,1.5,0.4296363554691942,0.10128497314007502,0.23705934849690227,1.0,1.5,emergency,7
10.0,1.5,0.28606183198235036,0.10177373526900256,0.19325182636155475,1.0,1.5,emergency,7
11.0,1.5,0.15702846285293248,0.07524974968204692,0.11726642840604813,1.0,1.5,emergency,7
12.0,2.0,0.09123203702564744,0.064344728756288,0.06328710512242294,1.0,1.5,emergency,7
13.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
14.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
15.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
16.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
17.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
18.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
19.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
20.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
21.0,1.0,0.0,0.0,0.0,1.0,1.5,emergency,7
0.0,1.5,4.913952073602786,0.6567289465673857,5.091761638087102,1.0,1.5,accel,8
1.0,1.5,4.855611975335473,0.22752179483906843,4.601405058920956,1.0,1.5,accel,8
2.0,1.5,4.764784912056554,0.06297523796720376,4.880476854339539,1.0,1.5,accel,8
3.0,1.5,4.942087632978555,0.10458073852118152,4.882169936186993,1.0,1.5,accel,8
4.0,1.5,5.1219182321591585,0.12205930072750557,4.918605375657919,1.0,1.5,accel,8
5.0,1.5,5.368250534246068,0.1238616033676519,5.1205273275107634,1.0,1.5,accel,8
6.0,1.5,5.673361800782333,0.06179089415613634,5.549780012470062,1.0,1.5,accel,8
7.0,1.5,6.085741521125279,0.020789442837567743,6.044162635450144,1.0,1.5,accel,8
8.0,1.5,6.552562030728122,0.011037509326210487,6.530487012075702,1.0,1.5,accel,8
9.0,1.5,7.033760289283972,0.007140067409787751,7.019480154464395,1.0,1.5,accel,8
10.0,1.5,7.521881421177147,0.0043038437042879725,7.513273733768571,1.0,1.5,accel,8
11.0,1.5,8.014813626025258,0.002489972262180817,8.009833681500895,1.0,1.5,accel,8
12.0,1.5,8.510718592852145,0.001444374572972537,8.507829843706201,1.0,1.5,accel,8
13.0,1.5,9.008336609137643,0.0008433128292332891,9.006649983479177,1.0,1.5,accel,8
14.0,1.5,9.506945061186885,0.0004923513196758085,9.505960358547533,1.0,1.5,accel,8
15.0,1.5,10.006132672660815,0.0002869330802889955,10.00555880650024,1.0,1.5,accel,8
16.0,1.5,10.505659148870024,0.00016705424269578318,10.505325040384632,1.0,1.5,accel,8
17.0,1.5,11.005383384601728,9.721005423860525e-05,11.00518896449325,1.0,1.5,accel,8
18.0,1.5,11.505222877836939,5.653851744035901e-05,11.505109800802058,1.0,1.5,accel,8
19.0,1.5,11.990284885134288,0.015305514258187193,12.020770951757292,1.0,1.5,accel,8
20.0,1.5,12.397896185453906,0.09458206914676356,12.587003874762503,1.0,1.5,accel,8
21.0,1.5,12.756265790220967,0.12602257557132163,13.008294311839277,1.0,1.5,accel,8
0.0,1.5,5.290284621333869,0.7184755313089117,5.316116133501538,1.0,1.5,sine,9
1.0,1.5,5.314678535768376,0.3739916516858501,5.320849509151637,1.0,1.5,sine,9
2.0,1.5,5.3014181973668775,0.2752695696723806,5.851930398299991,1.0,1.5,sine,9
3.0,1.5,5.336298169876534,0.2402264879248133,5.816751145726161,1.0,1.5,sine,9
4.0,1.5,5.178930054292428,0.14538830051032128,5.39908519777614,1.0,1.5,sine,9
5.0,1.5,4.904118691923045,0.12327738340918164,4.821598606086126,1.0,1.5,sine,9
6.0,1.5,4.644920760918036,0.17144557904294028,4.306995917968711,1.0,1.5,sine,9
7.0,1.5,4.50930804488972,0.23090935218756356,4.047489340514592,1.0,1.5,sine,9
8.0,1.5,4.552101106411684,0.2048499586725876,4.142401189066509,1.0,1.5,sine,9
9.0,1.5,4.760000304401336,0.1368008301417495,4.561435222204856,1.0,1.5,sine,9
10.0,1.5,5.056868506237222,0.1262319797015094,5.150608588412239,1.0,1.5,sine,9
11.0,1.5,5.331165571445001,0.17872436621245624,5.684106247700362,1.0,1.5,sine,9
12.0,1.5,5.477722093472562,0.23742928109784364,5.952580655668248,1.0,1.5,sine,9
13.0,1.5,5.439440032167982,0.2060554618680859,5.851550955904154,1.0,1.5,sine,9
14.0,1.5,5.231313666914449,0.13520624832567202,5.423971114983992,1.0,1.5,sine,9
15.0,1.5,4.934489922031907,0.12266298474890472,4.837869603456865,1.0,1.5,sine,9
16.0,1.5,4.6630862022422885,0.17500501940025293,4.316109627792563,1.0,1.5,sine,9
17.0,1.5,4.519779883722648,0.23363736685287534,4.052505150016898,1.0,1.5,sine,9
18.0,1.5,4.55801458260702,0.20640891950471504,4.14519674359759,1.0,1.5,sine,9
19.0,1.5,4.76332593379948,0.13746076070381333,4.562996001041164,1.0,1.5,sine,9
20.0,1.5,5.058742557123702,0.12634109130723167,5.151491188315291,1.0,1.5,sine,9
21.0,1.5,5.332231874637215,0.17852196921211497,5.68461971173698,1.0,1.5,sine,9
0.0,2.0,6.473217401364002,2.932369551864246,1.9766767486710928,1.0,2.0,constant,10
1.0,2.0,6.754126292864831,3.2421005421181115,0.26992520862860836,1.0,2.0,constant,10
2.0,2.0,6.6100910163270665,3.172949246534305,0.26419252325845605,1.0,2.0,constant,10
3.0,2.0,6.818579249542246,3.3049194146087193,0.2087404203248082,1.0,2.0,constant,10
4.0,2.0,7.025480291249362,3.441306542861448,0.14286720552646393,1.0,2.0,constant,10
5.0,2.0,7.175445226041862,3.5400595927890763,0.09532604046370804,1.0,2.0,constant,10
6.0,2.0,7.279212024799462,3.6078036662186705,0.06360469236212409,1.0,2.0,constant,10
7.0,2.0,7.3503941483901265,3.6539248958118637,0.0425443567664002,1.0,2.0,constant,10
8.0,2.0,7.398967306470607,3.68523657437631,0.028494157717985427,1.0,2.0,constant,10
9.0,2.0,7.431945251597506,3.7064267457028754,0.019091760191756492,1.0,2.0,constant,10
10.0,2.0,7.454241753283224,3.7207245651226626,0.012792623037901197,1.0,2.0,constant,10
11.0,2.0,7.469270790519401,3.7303496422685507,0.008571505982299306,1.0,2.0,constant,10
12.0,2.0,7.479380253001439,3.7368186436977036,0.005742965606033105,1.0,2.0,constant,10
13.0,2.0,7.486171205167766,3.7411617482579995,0.003847708651765777,1.0,2.0,constant,10
14.0,2.0,7.490728871546162,3.744075504228322,0.002577863089517347,1.0,2.0,constant,10
15.0,2.0,7.49378588239126,3.7460294013575366,0.0017270796761875962,1.0,2.0,constant,10
16.0,2.0,7.495835538893942,3.747339231743907,0.0011570754061259296,1.0,2.0,constant,10
17.0,2.0,7.497209428989174,3.748217118861879,0.0007751912654160482,1.0,2.0,constant,10
18.0,2.0,7.49813019111972,3.7488054238000585,0.0005193435196030659,1.0,2.0,constant,10
19.0,2.0,7.498747201564732,3.74919963266369,0.00034793623735419963,1.0,2.0,constant,10
20.0,2.0,7.499160633376558,3.749463766222394,0.00023310093177024243,1.0,2.0,constant,10
21.0,2.0,7.499437641638166,3.749640737554716,0.00015616652873493253,1.0,2.0,constant,10
0.0,2.0,6.473217401364002,2.932369551864246,1.9766767486710928,1.0,2.0,braking,11
1.0,2.0,6.754126292864831,3.2421005421181115,0.26992520862860836,1.0,2.0,braking,11
2.0,2.0,6.6100910163270665,3.172949246534305,0.26419252325845605,1.0,2.0,braking,11
3.0,2.0,6.690049209354444,3.1775500556569303,0.334949098040584,1.0,2.0,braking,11
4.0,2.0,6.613292616625085,3.1052610714492266,0.4027704737266303,1.0,2.0,braking,11
5.0,2.0,6.199090963506792,2.8846135734093674,0.4298638166880564,1.0,2.0,braking,11
6.0,2.0,5.480827721954269,2.5846340879840084,0.3115595459862513,1.0,2.0,braking,11
7.0,2.0,4.451588280500809,2.136244386054529,0.17909950839175234,1.0,2.0,braking,11
8.0,2.0,3.3584562212286433,1.6923694444640922,0.19569419190134416,1.0,2.0,braking,11
9.0,2.0,2.3183736788719798,1.2525060705639686,0.24990330588546047,1.0,2.0,braking,11
10.0,2.0,1.5034586434704513,0.887582632321302,0.27236266531908354,1.0,2.0,braking,11
11.0,2.0,0.8992898781623867,0.5449530424933726,0.19061620682435831,1.0,2.0,braking,11
12.0,2.0,0.5407450214470543,0.3177315171053603,0.09472038208055575,1.0,2.0,braking,11
13.0,2.0,0.34530190403762057,0.1948489016467038,0.05404907747963964,1.0,2.0,braking,11
14.0,2.0,0.23601380226211754,0.14847928772395821,0.07059795140965154,1.0,2.0,braking,11
15.0,2.0,0.1326626026032179,0.09111155778972124,0.05921132188318792,1.0,2.0,braking,11
16.0,2.0,0.05911948464615134,0.052619175977672995,0.04611886730919467,1.0,2.0,braking,11
17.0,1.0,0.0,0.0,0.0,1.0,2.0,braking,11
18.0,1.0,0.0,0.0,0.0,1.0,2.0,braking,11
19.0,1.0,0.0,0.0,0.0,1.0,2.0,braking,11
20.0,1.0,0.0,0.0,0.0,1.0,2.0,braking,11
21.0,1.0,0.0,0.0,0.0,1.0,2.0,braking,11
0.0,2.0,6.473217401364002,2.932369551864246,1.9766767486710928,1.0,2.0,emergency,12
1.0,2.0,6.754126292864831,3.2421005421181115,0.26992520862860836,1.0,2.0,emergency,12
2.0,2.0,6.6100910163270665,3.172949246534305,0.26419252325845605,1.0,2.0,emergency,12
3.0,2.0,6.558298242816149,3.0470130989335296,0.46427204494908986,1.0,2.0,emergency,12
4.0,2.0,6.189103548333288,2.7619393377536174,0.6652248728260542,1.0,2.0,emergency,12
5.0,2.0,5.295119609456733,2.324116336001777,0.7446106027813328,1.0,2.0,emergency,12
6.0,2.0,4.161754260427624,2.022561350482906,0.6734648649797795,1.0,2.0,emergency,12
7.0,2.0,2.8566155824432977,1.5779154444631247,0.495519951871136,1.0,2.0,emergency,12
8.0,2.0,1.7805364985799792,1.0935553879290811,0.40657427727818296,1.0,2.0,emergency,12
9.0,2.0,1.0245221884562572,0.6184157245317976,0.21230926060733793,1.0,2.0,emergency,12
10.0,2.0,0.6335341810837447,0.3724061452717393,0.11127810945973385,1.0,2.0,emergency,12
11.0,2.0,0.3989072156167022,0.2249168255566246,0.06049186000501734,1.0,2.0,emergency,12
12.0,2.0,0.28866046682230667,0.1791468589830219,0.07919867565220756,1.0,2.0,emergency,12
13.0,2.0,0.1640845417111564,0.10789898379221897,0.06127885038175197,1.0,2.0,emergency,12
14.0,2.0,0.08886446579789499,0.0714305424345739,0.053996619071252805,1.0,2.0,emergency,12
15.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
16.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
17.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
18.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
19.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
20.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
21.0,1.0,0.0,0.0,0.0,1.0,2.0,emergency,12
0.0,2.0,6.473217401364002,2.932369551864246,1.9766767486710928,1.0,2.0,accel,13
1.0,2.0,6.754126292864831,3.2421005421181115,0.26992520862860836,1.0,2.0,accel,13
2.0,2.0,6.6100910163270665,3.172949246534305,0.26419252325845605,1.0,2.0,accel,13
3.0,2.0,6.881711411647678,3.3674906266424864,0.19200300688598262,1.0,2.0,accel,13
4.0,2.0,7.227655529016623,3.6069900542420497,0.1331716214166855,1.0,2.0,accel,13
5.0,2.0,7.655989769321245,3.8666915490680456,0.0889835199582775,1.0,2.0,accel,13
6.0,2.0,8.166919005670588,4.1208681075812255,0.0748172094918632,1.0,2.0,accel,13
7.0,2.0,8.786614514557696,4.416692485499549,0.04677045644140337,1.0,2.0,accel,13
8.0,2.0,9.474248075180627,4.75176773561333,0.029287396046035065,1.0,2.0,accel,13
9.0,2.0,10.191295572918174,5.105152093844127,0.019008614770079632,1.0,2.0,accel,13
10.0,2.0,10.921689283965994,5.467161339470548,0.012633394975097991,1.0,2.0,accel,13
11.0,2.0,11.659070731307056,5.833783758791281,0.008496786275506867,1.0,2.0,accel,13
12.0,2.0,12.40062517982223,6.2031845527783265,0.005743925734421973,1.0,2.0,accel,13
13.0,2.0,13.144881090535586,6.574385555182044,0.0038900198285011294,1.0,2.0,accel,13
14.0,2.0,13.890953764713865,6.946794613509917,0.002635462305968037,1.0,2.0,accel,13
15.0,2.0,14.638266346417694,7.320025748488159,0.0017851505586252141,1.0,2.0,accel,13
16.0,2.0,15.386428792660602,7.693818748985656,0.001208705310708947,1.0,2.0,accel,13
17.0,2.0,16.13517390119406,8.067995969663443,0.0008180381328246304,1.0,2.0,accel,13
18.0,2.0,16.884318026988996,8.442435712882926,0.0005533987768543228,1.0,2.0,accel,13
19.0,2.0,17.622573767952513,8.805644348654754,0.011985875407886907,1.0,2.0,accel,13
20.0,2.0,18.28487242950987,9.09895397239667,0.08731442918320463,1.0,2.0,accel,13
21.0,2.0,18.85710800241537,9.355210775482961,0.14679916302294913,1.0,2.0,accel,13
